Fracción Volumen,Radio (nm),Espesor de la película (nm),Índice de absorción
3.0,15.0,108.0,0.0005226995595723
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,109.0,
3.0,17.0,120.0,0.0007325051982897
3.0,15.0,108.0,0.0004278597254246
3.0,15.0,108.0,0.0029367700831069
3.0,15.0,109.0,0.0021948496393509
3.0,15.0,108.0,0.0095753637590077
3.0,15.0,108.0,0.0010428598723088
3.0,15.0,108.0,0.0041408628897328
3.0,15.0,109.0,0.0046937598695752
3.0,15.0,108.0,
3.0,15.0,108.0,0.0024195065851695
3.0,15.0,108.0,
3.0,15.0,108.0,0.0016529898844838
3.0,15.0,109.0,0.0095891757510679
3.0,15.0,109.0,0.0005045846147634
3.0,15.0,108.0,
3.0,15.0,108.0,0.0017341594606097
3.0,15.0,108.0,0.0021812996902838
3.0,15.0,108.0,0.0023963645355327
3.0,15.0,108.0,0.0006668397889489
3.0,15.0,109.0,0.0018123840469996
3.0,15.0,108.0,0.0015537286594399
3.0,15.0,108.0,0.0005074428648936
3.0,15.0,108.0,0.0046416211328355
3.0,15.0,108.0,0.0018402079461796
3.0,15.0,108.0,0.0079899079501229
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,109.0,
3.0,15.0,108.0,
3.0,15.0,109.0,0.0010789497376297
3.0,15.0,108.0,0.0031318704554027
3.0,16.0,110.0,0.0016757572436213
3.0,15.0,108.0,
3.0,15.0,108.0,0.0012187699985658
3.0,15.0,108.0,0.0086178932839372
3.0,15.0,108.0,0.0009702306876177
3.0,15.0,109.0,0.0023947772243064
3.0,15.0,108.0,0.0027846780281878
3.0,15.0,108.0,
3.0,15.0,109.0,0.000196393809022
3.0,15.0,108.0,0.0599176831109048
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,108.0,0.0022192547367553
3.0,15.0,108.0,0.0013641080808821
3.0,15.0,108.0,0.0007773117852847
3.0,15.0,108.0,
3.0,15.0,108.0,0.0018626130350971
3.0,15.0,108.0,0.0030856749436514
3.0,15.0,109.0,0.0019737672937287
3.0,15.0,108.0,
3.0,15.0,108.0,0.0031999759539658
3.0,15.0,108.0,0.0012374960274271
3.0,15.0,108.0,0.0003928276462621
3.0,15.0,109.0,0.0074905580769911
3.0,15.0,108.0,
3.0,15.0,109.0,0.0017699606778217
3.0,15.0,109.0,0.0029841997854573
3.0,16.0,110.0,
3.0,15.0,108.0,0.0034203483034072
3.0,15.0,108.0,0.0018628441064538
3.0,15.0,109.0,0.00176799652918
3.0,16.0,111.0,0.0479288600780015
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,108.0,0.0089672048414922
3.0,15.0,108.0,0.0028876855379421
3.0,15.0,108.0,0.0001430929826823
3.0,15.0,108.0,0.002810186950979
3.0,15.0,108.0,0.0016178857986952
3.0,15.0,108.0,
3.0,15.0,108.0,0.0076716832280643
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,108.0,0.0030301758243051
3.0,15.0,108.0,
3.0,15.0,108.0,0.0017359077766323
3.0,15.0,109.0,0.0022616811002325
3.0,15.0,108.0,0.00026564754715
3.0,15.0,108.0,
3.0,16.0,114.0,0.0034901843529195
3.0,15.0,108.0,0.0003532721696573
3.0,15.0,109.0,0.0012740745858663
3.0,15.0,108.0,0.0008556800130232
3.0,15.0,108.0,
3.0,15.0,108.0,0.0062698717102535
3.0,15.0,108.0,0.0014784039939048
3.0,15.0,108.0,0.000367235730978
3.0,15.0,108.0,0.0016456497458137
3.0,15.0,109.0,0.0033127579467365
3.0,15.0,110.0,0.004302588668378
3.0,15.0,108.0,0.0020479343151631
3.0,15.0,108.0,0.0021762876697552
3.0,15.0,109.0,
3.0,15.0,109.0,0.0021854011465281
3.0,15.0,108.0,0.0022404348321942
3.0,15.0,108.0,0.0023929005168501
3.0,15.0,108.0,0.0013505300734636
3.0,15.0,109.0,0.0016039760072389
3.0,15.0,108.0,0.0011359795034104
3.0,15.0,108.0,0.0145146856451489
3.0,15.0,109.0,0.0076514106978373
3.0,15.0,108.0,0.0018083922518521
3.0,15.0,109.0,0.0018240280933818
3.0,15.0,108.0,0.0037095037904329
3.0,15.0,108.0,0.0014303316296606
3.0,15.0,108.0,0.0011488829240163
3.0,15.0,108.0,0.002504124236089
3.0,15.0,108.0,0.0009961291738166
3.0,15.0,108.0,0.000968142497522
3.0,15.0,108.0,0.0010488177369796
3.0,15.0,108.0,
3.0,15.0,108.0,0.0012253982050104
3.0,15.0,109.0,0.0026884352603611
3.0,15.0,108.0,0.0008481913360514
3.0,15.0,108.0,0.0065335496534199
3.0,15.0,109.0,
3.0,15.0,108.0,
3.0,15.0,108.0,0.0036384513815485
3.0,15.0,108.0,0.0015739334783066
3.0,15.0,108.0,0.0112766863677768
3.0,15.0,108.0,0.0012442617129297
3.0,15.0,108.0,
3.0,15.0,108.0,0.0167433863318043
3.0,15.0,109.0,0.0011885445248001
3.0,15.0,108.0,5.027169607e-05
3.0,15.0,108.0,0.0001256802145143
3.0,15.0,109.0,0.0019313583613471
3.0,15.0,108.0,0.0012489937601466
3.0,17.0,117.0,0.0144070690464351
3.0,15.0,108.0,0.0001676159173892
3.0,15.0,109.0,0.0018987970520638
3.0,15.0,108.0,0.0020319837331502
3.0,15.0,109.0,0.0473807498868325
3.0,15.0,108.0,0.0013215612723607
3.0,15.0,108.0,0.0007853272835077
3.0,15.0,108.0,
3.0,16.0,110.0,
3.0,15.0,108.0,9.36526759716e-05
3.0,15.0,108.0,0.0032807774272044
3.0,15.0,108.0,0.0071850102506508
3.0,15.0,109.0,0.025892987241532
3.0,15.0,108.0,
3.0,15.0,108.0,0.0017477130907496
3.0,15.0,108.0,0.0013097949891889
3.0,15.0,109.0,0.0095428825261003
3.0,15.0,108.0,0.0020511514185428
3.0,15.0,108.0,0.0100410364490874
3.0,15.0,108.0,0.0070040850884726
3.0,15.0,108.0,0.0009912911414541
3.0,15.0,108.0,0.0008604126431265
3.0,15.0,108.0,0.0021394529620575
3.0,15.0,108.0,
3.0,15.0,109.0,0.0013568792760354
3.0,15.0,109.0,0.0442522165411643
3.0,15.0,108.0,
3.0,15.0,109.0,0.0005193831660276
3.0,15.0,108.0,0.0149879937651065
3.0,15.0,108.0,0.008698025437761
3.0,15.0,108.0,0.0172071736004278
3.0,15.0,108.0,0.0079716824787661
3.0,15.0,108.0,0.001916091615548
3.0,15.0,108.0,0.0082826082830249
3.0,15.0,109.0,
3.0,15.0,108.0,0.0170463371740462
3.0,15.0,108.0,0.0004394038234099
3.0,15.0,108.0,
3.0,15.0,108.0,0.0037368110722872
3.0,15.0,108.0,0.0005253095375515
3.0,15.0,108.0,0.0097838893029928
3.0,15.0,108.0,0.0011086568346573
3.0,15.0,108.0,
3.0,15.0,108.0,0.0008684863216216
3.0,15.0,108.0,
3.0,15.0,109.0,0.0138595982652905
3.0,15.0,108.0,
3.0,15.0,108.0,0.004287234574848
3.0,15.0,108.0,0.0010955620109842
3.0,15.0,108.0,0.000255674094819
3.0,15.0,108.0,0.0139178808112899
3.0,15.0,108.0,0.0008404986029123
3.0,15.0,108.0,0.0021609201016004
3.0,15.0,109.0,0.0025726825739227
3.0,15.0,109.0,0.0036035224406045
3.0,15.0,109.0,0.0015056438803725
3.0,16.0,110.0,
3.0,15.0,108.0,0.0032860929237128
3.0,15.0,108.0,0.0039547209928158
3.0,15.0,108.0,9.76082673217e-05
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,109.0,0.0087195040625505
3.0,15.0,108.0,0.0076826698247916
3.0,15.0,109.0,
3.0,16.0,112.0,0.0086582749816806
3.0,15.0,108.0,0.0008360232636948
3.0,15.0,109.0,0.0021290809020454
3.0,15.0,108.0,0.0032578691637722
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,109.0,
3.0,15.0,108.0,0.0053820459356734
3.0,15.0,108.0,0.004162696490637
3.0,15.0,108.0,0.0003980709351058
3.0,15.0,108.0,0.0009838627011799
3.0,15.0,108.0,0.0019949928200595
3.0,15.0,109.0,0.0019868628933493
3.0,15.0,108.0,0.0020143520750052
3.0,15.0,108.0,0.0083679083887662
3.0,15.0,108.0,0.0011786047591944
3.0,15.0,108.0,
3.0,15.0,110.0,0.0075319063461096
3.0,15.0,108.0,0.0025090808389519
3.0,15.0,108.0,0.0018836645705189
3.0,15.0,110.0,0.0254301675016016
3.0,15.0,108.0,0.0082255651907112
3.0,15.0,108.0,0.0003902407202895
3.0,15.0,108.0,0.0019961814839281
3.0,15.0,108.0,0.002245846230729
3.0,15.0,108.0,
3.0,15.0,108.0,0.0023682865964324
3.0,15.0,108.0,0.00818052576117
3.0,15.0,108.0,0.0011122771755544
3.0,15.0,108.0,0.0021199456671738
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,108.0,0.0019943669412184
3.0,15.0,108.0,0.0012014471269641
3.0,15.0,108.0,0.0028356181830839
3.0,15.0,108.0,0.0030357141479913
3.0,15.0,108.0,0.0015209780862564
3.0,15.0,108.0,0.0002493280407874
3.0,15.0,108.0,0.001466394327752
3.0,15.0,109.0,0.0013348094406631
3.0,16.0,110.0,0.0012629995049658
3.0,15.0,108.0,0.0015263727634082
3.0,15.0,108.0,0.0008709261481688
3.0,15.0,108.0,
3.0,15.0,109.0,
3.0,15.0,108.0,
3.0,15.0,108.0,0.0001594833635712
3.0,15.0,108.0,
3.0,15.0,108.0,0.0015663965533188
3.0,15.0,108.0,0.0026489439062903
3.0,15.0,109.0,0.0021224245493514
3.0,15.0,109.0,0.0006900151787112
3.0,15.0,108.0,0.0057888236835651
3.0,15.0,108.0,
3.0,15.0,108.0,0.0014775355447757
3.0,15.0,108.0,0.0094644024418271
3.0,15.0,108.0,0.0260804760091969
3.0,15.0,108.0,0.0002052164231654
3.0,15.0,108.0,
3.0,15.0,108.0,0.0023100711505829
3.0,15.0,109.0,0.0006509481435087
3.0,15.0,109.0,0.0107858357338113
3.0,15.0,108.0,0.0053736394429084
3.0,15.0,108.0,0.0134278628197278
3.0,15.0,108.0,0.0010500033515972
3.0,15.0,108.0,0.0042108999603694
3.0,15.0,109.0,0.0004792954006112
3.0,15.0,108.0,0.0018936220909229
3.0,15.0,108.0,0.0009096495177775
3.0,15.0,108.0,0.0003224091530234
3.0,15.0,108.0,0.0007748536313747
3.0,15.0,108.0,0.0002303518924404
3.0,15.0,108.0,0.0014513178146766
3.0,15.0,108.0,0.0028463069067604
3.0,16.0,110.0,0.0057649060531376
3.0,15.0,108.0,0.0019476825134173
3.0,15.0,108.0,0.0019898366868274
3.0,15.0,109.0,0.0013496323861388
3.0,15.0,108.0,0.0018273907065826
3.0,15.0,108.0,0.0028602766885124
3.0,15.0,108.0,0.0040771052993666
3.0,15.0,108.0,0.0028580171670907
3.0,15.0,108.0,0.0005528975113537
3.0,15.0,108.0,0.0018616060067087
3.0,15.0,108.0,0.0001372333690253
3.0,15.0,109.0,0.0021851377121302
3.0,15.0,109.0,0.0013381747996586
3.0,15.0,108.0,
3.0,15.0,109.0,0.0027607321670532
3.0,15.0,108.0,0.000979423351946
3.0,15.0,108.0,0.0027457109031936
3.0,15.0,108.0,0.0020577757679781
3.0,15.0,108.0,0.0036634872809762
3.0,15.0,108.0,0.0027958229317714
3.0,15.0,108.0,
3.0,15.0,109.0,0.0042685933486257
3.0,15.0,108.0,0.001925086724901
3.0,15.0,108.0,0.0004126322656723
3.0,15.0,108.0,0.0011744243814554
3.0,15.0,108.0,0.0040552684307929
3.0,15.0,108.0,0.0021954590462202
3.0,15.0,108.0,0.0025507470737547
3.0,15.0,108.0,0.0010635848509019
3.0,15.0,108.0,0.0038994567621827
3.0,15.0,108.0,
3.0,15.0,108.0,0.0002264916588699
3.0,15.0,108.0,0.0021592315257154
3.0,15.0,108.0,0.0426029182192593
3.0,15.0,109.0,0.0001046619070522
3.0,15.0,108.0,0.0005125606344379
3.0,15.0,108.0,0.0013809166923499
3.0,15.0,109.0,0.0089034488660807
3.0,15.0,108.0,0.0021190034838405
3.0,15.0,108.0,0.0017895455418239
3.0,15.0,109.0,0.0011934569224048
3.0,15.0,108.0,0.0017545392231794
3.0,15.0,108.0,0.0019445020143401
3.0,15.0,108.0,0.0091259592714091
3.0,15.0,108.0,0.0020401228454759
3.0,15.0,110.0,0.0016941208557098
3.0,15.0,108.0,0.0005914940410655
3.0,15.0,109.0,0.0140532891103884
3.0,15.0,108.0,
3.0,15.0,108.0,0.001120485378676
3.0,15.0,108.0,0.0012142340829444
3.0,15.0,108.0,0.002124643398313
3.0,15.0,108.0,0.0020218381690042
3.0,15.0,108.0,0.0001960196628715
3.0,15.0,108.0,0.0016458752230903
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,108.0,0.0038515410068889
3.0,15.0,108.0,
3.0,15.0,108.0,0.0014270256211077
3.0,15.0,108.0,0.0092270646917142
3.0,15.0,108.0,
3.0,15.0,108.0,0.0017763900855377
3.0,15.0,108.0,0.0071209339673458
3.0,15.0,108.0,0.0041652912990263
3.0,15.0,108.0,0.0012910301525561
3.0,15.0,108.0,0.0014446450347255
3.0,15.0,108.0,0.0055302676127794
3.0,15.0,108.0,0.0022306151450405
3.0,15.0,108.0,0.0022016559781601
3.0,15.0,108.0,
3.0,15.0,108.0,0.0037081930538325
3.0,15.0,108.0,0.0020415766495995
3.0,15.0,108.0,
3.0,15.0,108.0,0.0001262163519923
3.0,15.0,108.0,0.0016559601866756
3.0,15.0,108.0,0.0035395330008097
3.0,15.0,108.0,0.0006253884450861
3.0,15.0,108.0,0.001286237368349
3.0,15.0,108.0,0.0003583018920885
3.0,15.0,108.0,0.0040319773946479
3.0,15.0,108.0,
3.0,15.0,108.0,0.0012803178863638
3.0,15.0,108.0,0.0742835876576583
3.0,15.0,108.0,0.0025554825443039
3.0,15.0,109.0,0.0035000590145649
3.0,15.0,109.0,0.002108855934936
3.0,15.0,108.0,0.0020943560926304
3.0,15.0,109.0,0.001278190754811
3.0,15.0,108.0,0.0034771252912153
3.0,15.0,108.0,
3.0,15.0,109.0,
3.0,15.0,108.0,
3.0,15.0,108.0,0.0014634580762601
3.0,15.0,108.0,0.015339566631817
3.0,15.0,108.0,0.0019385017282038
3.0,15.0,108.0,0.0018336434535186
3.0,15.0,108.0,0.0004134956681312
3.0,15.0,108.0,0.0001469460954213
3.0,15.0,108.0,0.0056794990614271
3.0,15.0,108.0,
3.0,15.0,108.0,0.0075176856636776
3.0,15.0,108.0,0.000517411391474
3.0,15.0,108.0,0.0004695547334035
3.0,15.0,109.0,0.0018001842662342
3.0,15.0,108.0,0.0002587121251263
3.0,15.0,108.0,0.0042687538061257
3.0,15.0,108.0,
3.0,15.0,108.0,0.0020572556618312
3.0,15.0,108.0,0.0011092579930325
3.0,15.0,109.0,0.0042604831724116
3.0,15.0,109.0,
3.0,15.0,108.0,
3.0,15.0,108.0,0.0011725503449906
3.0,15.0,108.0,0.0034352915925882
3.0,15.0,108.0,4.50909779021e-05
3.0,15.0,108.0,0.0001384899217863
3.0,15.0,108.0,0.0005912130276728
3.0,15.0,108.0,0.002822157444431
3.0,15.0,108.0,0.002168008407763
3.0,15.0,108.0,0.0041428765857256
3.0,15.0,108.0,0.0012666634623624
3.0,15.0,108.0,0.0018217503201749
3.0,16.0,110.0,
3.0,15.0,108.0,0.0013397177351168
3.0,15.0,109.0,0.0089495123858061
3.0,15.0,108.0,0.00333249137971
3.0,15.0,108.0,
3.0,15.0,108.0,0.0077563257037715
3.0,15.0,108.0,7.91607320678e-05
3.0,15.0,109.0,
3.0,15.0,108.0,0.0099612839509822
3.0,15.0,108.0,0.000332914304538
3.0,15.0,109.0,0.0014611505438743
3.0,16.0,111.0,0.0009256184266979
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,108.0,0.0108290817651375
3.0,15.0,108.0,0.0005085325932352
3.0,15.0,108.0,8.04207056256e-05
3.0,15.0,108.0,
3.0,15.0,108.0,0.0162302110934754
3.0,15.0,108.0,0.0018961317765268
3.0,15.0,108.0,0.0019193579038904
3.0,15.0,108.0,4.03427587413e-05
3.0,15.0,108.0,0.0017215747801745
3.0,15.0,108.0,0.0003472642478099
3.0,15.0,108.0,0.0012771971499037
3.0,15.0,108.0,0.0069221150193783
3.0,15.0,108.0,0.0024787312155576
3.0,15.0,108.0,0.0106554287569905
3.0,15.0,108.0,0.0023296684619332
3.0,15.0,108.0,0.0086673510954755
3.0,15.0,109.0,
3.0,15.0,108.0,0.0011714023516656
3.0,15.0,108.0,
3.0,15.0,109.0,0.003479852931932
3.0,15.0,109.0,0.0038139629745757
3.0,15.0,109.0,2.73650986448e-05
3.0,15.0,109.0,0.0001449663748774
3.0,15.0,109.0,0.0030392682451833
3.0,15.0,108.0,
3.0,15.0,108.0,0.0034328917956829
3.0,15.0,108.0,0.0021535439034825
3.0,15.0,108.0,0.0001601053267648
3.0,15.0,108.0,0.0021298758222657
3.0,15.0,108.0,0.0011414887645811
3.0,15.0,108.0,0.0021809633114916
3.0,15.0,108.0,0.0006122412968046
3.0,15.0,109.0,0.00347216767799
3.0,15.0,108.0,0.0005217528654439
3.0,15.0,108.0,0.0076035244050223
3.0,15.0,109.0,0.0023480011882714
3.0,15.0,108.0,0.0008826954692471
3.0,15.0,108.0,0.005986294732384
3.0,15.0,108.0,0.0018356206330219
3.0,15.0,108.0,0.0041237712210627
3.0,15.0,108.0,0.0055923761246751
3.0,15.0,108.0,9.87519193029e-05
3.0,15.0,109.0,0.0007429158518827
3.0,15.0,108.0,
3.0,15.0,109.0,
3.0,15.0,108.0,0.0040383288949242
3.0,15.0,108.0,0.0064843910355806
3.0,15.0,108.0,0.0001478314317855
3.0,15.0,108.0,
3.0,15.0,109.0,0.0003050083379836
3.0,15.0,109.0,0.0011415669233817
3.0,15.0,109.0,0.0171116429303135
3.0,15.0,108.0,0.0018149190455052
3.0,15.0,108.0,0.0019564100059962
3.0,15.0,108.0,0.0021929709533723
3.0,15.0,108.0,0.0089186189780382
3.0,15.0,108.0,
3.0,15.0,108.0,0.0088190298117148
3.0,15.0,108.0,0.0001203708957772
3.0,15.0,109.0,0.0013096052648971
3.0,15.0,109.0,0.0023326304693793
3.0,15.0,108.0,0.0002878007419431
3.0,15.0,109.0,0.0005565587403038
3.0,15.0,108.0,0.0083694112881734
3.0,16.0,116.0,0.0070998808220757
3.0,15.0,108.0,0.0040630684969006
3.0,15.0,109.0,0.0013981387437195
3.0,15.0,108.0,0.0006504687359056
3.0,15.0,108.0,
3.0,15.0,108.0,0.0035569387079983
3.0,15.0,108.0,0.0019846719025704
3.0,15.0,108.0,0.000621039180986
3.0,15.0,108.0,0.0089055254372257
3.0,15.0,109.0,0.001966410656723
3.0,15.0,109.0,
3.0,15.0,108.0,0.0162040690768249
3.0,15.0,109.0,0.0020249190676293
3.0,15.0,108.0,0.0004807060184419
3.0,15.0,108.0,0.0008627842184768
3.0,15.0,109.0,0.0010105631123556
3.0,15.0,108.0,0.0009442138627856
3.0,15.0,108.0,0.0052317149682641
3.0,15.0,108.0,0.0053027660288643
3.0,15.0,108.0,
3.0,15.0,108.0,0.0008579621453443
3.0,15.0,108.0,0.0119301658623267
3.0,15.0,108.0,0.0007490088730363
3.0,15.0,108.0,0.0005162952516767
3.0,15.0,108.0,0.0009870297143384
3.0,15.0,108.0,0.0084538871087806
3.0,15.0,108.0,
3.0,15.0,108.0,0.0022186310024425
3.0,15.0,108.0,
3.0,15.0,108.0,0.0021869226159224
3.0,15.0,108.0,0.0005012116025457
3.0,15.0,108.0,0.0022847541233674
3.0,15.0,108.0,
3.0,15.0,108.0,0.0050763480839128
3.0,15.0,108.0,0.002231260427886
3.0,15.0,108.0,
3.0,15.0,109.0,
3.0,15.0,108.0,0.0003457281325616
3.0,15.0,108.0,0.0003792408668866
3.0,15.0,109.0,0.0090262241154464
3.0,15.0,109.0,0.0118383853118754
3.0,15.0,108.0,0.0007238191003373
3.0,15.0,108.0,0.0038365699851913
3.0,15.0,109.0,
3.0,15.0,108.0,0.0005136981768141
3.0,15.0,108.0,
3.0,15.0,108.0,0.0143855587967725
3.0,15.0,108.0,3.70719595478e-05
3.0,15.0,109.0,0.0031764438895538
3.0,15.0,108.0,8.0777416329e-05
3.0,15.0,108.0,0.0092306198548842
3.0,15.0,109.0,0.0011706561849066
3.0,15.0,108.0,
3.0,15.0,108.0,0.0002547186241213
3.0,15.0,108.0,0.0010604768305978
3.0,15.0,108.0,0.0042220573020939
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,108.0,0.0020964018321938
3.0,15.0,109.0,3.63657815998e-05
3.0,15.0,109.0,0.0051823304472368
3.0,15.0,109.0,0.002122030291119
3.0,15.0,108.0,
3.0,15.0,108.0,
3.0,15.0,108.0,0.0020421654310735
3.0,15.0,108.0,0.0007325564026414
3.0,15.0,108.0,0.0014268364568115
3.0,15.0,108.0,0.0155223039616921
3.0,15.0,108.0,0.0148109716891398
3.0,15.0,108.0,0.0005859868256033
3.0,15.0,109.0,
3.0,15.0,108.0,0.0041067130297253
3.0,15.0,108.0,0.0149160532149982
3.0,15.0,109.0,
3.0,15.0,108.0,0.001510820088109
3.0,15.0,109.0,0.002355836058456
3.0,15.0,108.0,0.0019949709886167
3.0,15.0,108.0,0.0011765054550903
3.0,15.0,108.0,0.000126818440337
3.0,15.0,108.0,0.0017191164534064
3.0,15.0,108.0,0.0019637150825845
3.0,15.0,108.0,
