"TOA5","8543","CR1000X","8543","CR1000X.Std.05.01","CPU:Est_meteo1.CR1X","5308","Gases"
"TIMESTAMP","RECORD","NO2","SO2","CO","O3","T_air","P_atm_q","H_R"
"TS","RN","ppm","ppm","ppm","ppm","Deg C","mbar","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-01-05 00:00:00",139128,"0.055","0.098","0.498","0.027","13.9","767.3","48.3"
"2022-01-05 00:01:00",139129,"0.056","0.098","0.497","0.026","13.9","767.2","48.3"
"2022-01-05 00:02:00",139130,"0.056","0.097","0.495","0.025","14.0","767.3","48.0"
"2022-01-05 00:03:00",139131,"0.056","0.098","0.493","0.025","13.9","767.4","47.8"
"2022-01-05 00:04:00",139132,"0.056","0.098","0.493","0.026","13.8","767.4","48.0"
"2022-01-05 00:05:00",139133,"0.056","0.097","0.495","0.026","13.9","767.3","48.1"
"2022-01-05 00:06:00",139134,"0.055","0.097","0.497","0.026","13.9","767.4","48.0"
"2022-01-05 00:07:00",139135,"0.055","0.097","0.499","0.027","13.7","767.4","48.3"
"2022-01-05 00:08:00",139136,"0.055","0.097","0.502","0.026","13.7","767.3","48.5"
"2022-01-05 00:09:00",139137,"0.055","0.097","0.503","0.026","13.8","767.3","48.4"
"2022-01-05 00:10:00",139138,"0.055","0.097","0.505","0.026","13.7","767.3","48.4"
"2022-01-05 00:11:00",139139,"0.055","0.097","0.509","0.026","13.8","767.2","48.3"
"2022-01-05 00:12:00",139140,"0.055","0.097","0.514","0.026","13.6","767.3","48.5"
"2022-01-05 00:13:00",139141,"0.055","0.098","0.519","0.026","13.5","767.3","48.7"
"2022-01-05 00:14:00",139142,"0.055","0.098","0.523","0.026","13.6","767.3","48.7"
"2022-01-05 00:15:00",139143,"0.055","0.098","0.525","0.027","13.6","767.3","48.7"
"2022-01-05 00:16:00",139144,"0.055","0.098","0.525","0.026","13.6","767.3","48.5"
"2022-01-05 00:17:00",139145,"0.055","0.098","0.524","0.026","13.7","767.3","48.3"
"2022-01-05 00:18:00",139146,"0.055","0.098","0.521","0.026","13.7","767.3","48.0"
"2022-01-05 00:19:00",139147,"0.054","0.098","0.517","0.025","13.6","767.3","48.2"
"2022-01-05 00:20:00",139148,"0.054","0.098","0.516","0.026","13.5","767.3","48.6"
"2022-01-05 00:21:00",139149,"0.054","0.098","0.515","0.026","13.3","767.2","49.0"
"2022-01-05 00:22:00",139150,"0.054","0.097","0.517","0.026","13.4","767.2","49.2"
"2022-01-05 00:23:00",139151,"0.054","0.097","0.520","0.026","13.5","767.2","49.0"
"2022-01-05 00:24:00",139152,"0.054","0.097","0.521","0.026","13.4","767.3","49.1"
"2022-01-05 00:25:00",139153,"0.053","0.097","0.522","0.027","13.5","767.2","48.9"
"2022-01-05 00:26:00",139154,"0.053","0.097","0.521","0.028","13.4","767.2","48.9"
"2022-01-05 00:27:00",139155,"0.053","0.097","0.520","0.028","13.5","767.3","48.8"
"2022-01-05 00:28:00",139156,"0.053","0.097","0.517","0.027","13.4","767.3","48.6"
"2022-01-05 00:29:00",139157,"0.053","0.097","0.513","0.027","13.4","767.2","48.6"
"2022-01-05 00:30:00",139158,"0.053","0.097","0.508","0.027","13.4","767.2","48.4"
"2022-01-05 00:31:00",139159,"0.053","0.097","0.505","0.027","13.5","767.2","48.3"
"2022-01-05 00:32:00",139160,"0.053","0.097","0.503","0.027","13.3","767.2","48.6"
"2022-01-05 00:33:00",139161,"0.053","0.097","0.504","0.027","13.2","767.2","49.1"
"2022-01-05 00:34:00",139162,"0.053","0.097","0.507","0.027","13.2","767.2","49.1"
"2022-01-05 00:35:00",139163,"0.053","0.097","0.509","0.027","13.4","767.2","48.8"
"2022-01-05 00:36:00",139164,"0.052","0.097","0.509","0.028","13.3","767.2","48.8"
"2022-01-05 00:37:00",139165,"0.052","0.097","0.509","0.029","13.2","767.2","48.9"
"2022-01-05 00:38:00",139166,"0.052","0.097","0.509","0.029","13.3","767.2","49.0"
"2022-01-05 00:39:00",139167,"0.052","0.097","0.509","0.029","13.1","767.2","49.2"
"2022-01-05 00:40:00",139168,"0.052","0.097","0.508","0.028","13.2","767.2","49.0"
"2022-01-05 00:41:00",139169,"0.052","0.097","0.507","0.028","13.2","767.2","49.0"
"2022-01-05 00:42:00",139170,"0.052","0.097","0.505","0.027","13.1","767.2","49.2"
"2022-01-05 00:43:00",139171,"0.052","0.097","0.502","0.027","13.0","767.2","49.6"
"2022-01-05 00:44:00",139172,"0.052","0.097","0.498","0.027","13.1","767.2","49.2"
"2022-01-05 00:45:00",139173,"0.052","0.097","0.494","0.027","13.1","767.2","49.4"
"2022-01-05 00:46:00",139174,"0.051","0.097","0.491","0.028","13.2","767.2","49.3"
"2022-01-05 00:47:00",139175,"0.051","0.097","0.488","0.030","13.1","767.2","49.3"
"2022-01-05 00:48:00",139176,"0.051","0.097","0.485","0.029","13.0","767.2","49.4"
"2022-01-05 00:49:00",139177,"0.051","0.096","0.481","0.029","13.0","767.2","49.4"
"2022-01-05 00:50:00",139178,"0.051","0.096","0.476","0.028","13.2","767.0","49.0"
"2022-01-05 00:51:00",139179,"0.051","0.096","0.470","0.029","13.1","767.2","49.3"
"2022-01-05 00:52:00",139180,"0.051","0.096","0.466","0.029","13.0","767.2","49.5"
"2022-01-05 00:53:00",139181,"0.051","0.096","0.464","0.030","12.9","767.2","49.7"
"2022-01-05 00:54:00",139182,"0.051","0.096","0.462","0.030","12.9","767.1","49.8"
"2022-01-05 00:55:00",139183,"0.051","0.096","0.458","0.030","12.8","767.1","50.1"
"2022-01-05 00:56:00",139184,"0.051","0.096","0.456","0.028","12.8","767.1","50.1"
"2022-01-05 00:57:00",139185,"0.050","0.096","0.454","0.028","13.0","767.1","49.4"
"2022-01-05 00:58:00",139186,"0.050","0.095","0.449","0.030","13.0","767.1","49.2"
"2022-01-05 00:59:00",139187,"0.050","0.095","0.443","0.030","13.0","767.1","49.1"
"2022-01-05 01:00:00",139188,"0.049","0.094","0.438","0.031","12.8","767.0","49.4"
"2022-01-05 01:01:00",139189,"0.049","0.094","0.431","0.031","13.0","767.1","49.1"
"2022-01-05 01:02:00",139190,"0.049","0.094","0.423","0.032","12.8","767.1","49.0"
"2022-01-05 01:03:00",139191,"0.049","0.094","0.414","0.033","12.8","767.1","49.1"
"2022-01-05 01:04:00",139192,"0.048","0.094","0.405","0.033","12.9","767.1","49.0"
"2022-01-05 01:05:00",139193,"0.048","0.094","0.397","0.034","12.9","767.1","48.8"
"2022-01-05 01:06:00",139194,"0.047","0.094","0.390","0.035","12.8","767.1","48.8"
"2022-01-05 01:07:00",139195,"0.047","0.093","0.386","0.036","12.8","767.1","49.0"
"2022-01-05 01:08:00",139196,"0.047","0.093","0.382","0.036","12.7","767.1","49.3"
"2022-01-05 01:09:00",139197,"0.047","0.093","0.380","0.036","12.8","767.1","49.4"
"2022-01-05 01:10:00",139198,"0.047","0.093","0.377","0.037","12.8","766.9","49.3"
"2022-01-05 01:11:00",139199,"0.047","0.093","0.375","0.036","12.8","767.0","49.2"
"2022-01-05 01:12:00",139200,"0.047","0.093","0.373","0.036","12.8","767.0","49.4"
"2022-01-05 01:13:00",139201,"0.047","0.094","0.374","0.036","12.8","767.0","49.5"
"2022-01-05 01:14:00",139202,"0.048","0.094","0.379","0.036","12.8","767.1","49.5"
"2022-01-05 01:15:00",139203,"0.048","0.094","0.385","0.034","12.7","767.1","49.7"
"2022-01-05 01:16:00",139204,"0.048","0.094","0.387","0.034","12.7","767.1","49.9"
"2022-01-05 01:17:00",139205,"0.047","0.094","0.385","0.034","12.8","767.0","49.9"
"2022-01-05 01:18:00",139206,"0.047","0.093","0.380","0.035","12.8","767.0","49.8"
"2022-01-05 01:19:00",139207,"0.047","0.093","0.377","0.035","12.7","767.0","49.9"
"2022-01-05 01:20:00",139208,"0.047","0.093","0.373","0.036","12.7","766.9","49.9"
"2022-01-05 01:21:00",139209,"0.047","0.093","0.368","0.036","12.7","767.0","49.8"
"2022-01-05 01:22:00",139210,"0.047","0.093","0.363","0.036","12.8","767.0","49.6"
"2022-01-05 01:23:00",139211,"0.047","0.093","0.357","0.037","12.7","767.0","49.5"
"2022-01-05 01:24:00",139212,"0.047","0.092","0.352","0.038","12.8","767.0","49.4"
"2022-01-05 01:25:00",139213,"0.047","0.092","0.346","0.040","12.8","767.0","49.4"
"2022-01-05 01:26:00",139214,"0.047","0.092","0.341","0.041","12.7","767.0","49.3"
"2022-01-05 01:27:00",139215,"0.047","0.093","0.336","0.042","12.7","767.0","49.4"
"2022-01-05 01:28:00",139216,"0.047","0.093","0.336","0.042","12.6","767.0","49.7"
"2022-01-05 01:29:00",139217,"0.047","0.093","0.336","0.043","12.5","767.0","49.9"
"2022-01-05 01:30:00",139218,"0.047","0.093","0.333","0.043","12.5","766.8","50.1"
"2022-01-05 01:31:00",139219,"0.047","0.093","0.335","0.042","12.7","767.0","49.7"
"2022-01-05 01:32:00",139220,"0.046","0.093","0.333","0.041","12.6","767.0","49.4"
"2022-01-05 01:33:00",139221,"0.046","0.093","0.333","0.042","12.6","766.9","49.3"
"2022-01-05 01:34:00",139222,"0.046","0.092","0.332","0.042","12.6","767.0","49.4"
"2022-01-05 01:35:00",139223,"0.045","0.093","0.331","0.043","12.6","767.0","49.3"
"2022-01-05 01:36:00",139224,"0.045","0.093","0.330","0.045","12.7","767.0","48.7"
"2022-01-05 01:37:00",139225,"0.044","0.093","0.327","0.045","12.6","767.0","48.8"
"2022-01-05 01:38:00",139226,"0.044","0.093","0.326","0.045","12.8","767.0","48.6"
"2022-01-05 01:39:00",139227,"0.043","0.093","0.324","0.045","12.8","767.0","48.1"
"2022-01-05 01:40:00",139228,"0.043","0.093","0.320","0.045","12.7","766.8","48.1"
"2022-01-05 01:41:00",139229,"0.043","0.093","0.316","0.045","12.7","766.9","48.3"
"2022-01-05 01:42:00",139230,"0.043","0.092","0.313","0.045","12.7","766.9","48.1"
"2022-01-05 01:43:00",139231,"0.042","0.093","0.309","0.045","12.7","767.0","48.1"
"2022-01-05 01:44:00",139232,"0.042","0.092","0.305","0.045","12.6","767.0","48.2"
"2022-01-05 01:45:00",139233,"0.042","0.092","0.300","0.045","12.6","767.0","48.1"
"2022-01-05 01:46:00",139234,"0.042","0.092","0.295","0.045","12.7","767.0","47.8"
"2022-01-05 01:47:00",139235,"0.041","0.092","0.290","0.045","12.7","767.0","48.0"
"2022-01-05 01:48:00",139236,"0.041","0.092","0.287","0.045","12.6","767.0","48.2"
"2022-01-05 01:49:00",139237,"0.041","0.092","0.284","0.045","12.5","767.0","48.3"
"2022-01-05 01:50:00",139238,"0.041","0.092","0.282","0.045","12.5","766.8","48.5"
"2022-01-05 01:51:00",139239,"0.042","0.092","0.281","0.045","12.4","766.9","48.7"
"2022-01-05 01:52:00",139240,"0.042","0.092","0.280","0.045","12.5","766.9","48.8"
"2022-01-05 01:53:00",139241,"0.041","0.092","0.279","0.045","12.4","766.9","48.7"
"2022-01-05 01:54:00",139242,"0.041","0.091","0.278","0.045","12.3","766.9","49.0"
"2022-01-05 01:55:00",139243,"0.041","0.091","0.276","0.045","12.6","766.9","48.5"
"2022-01-05 01:56:00",139244,"0.041","0.092","0.273","0.045","12.5","766.9","48.2"
"2022-01-05 01:57:00",139245,"0.041","0.092","0.269","0.045","12.5","766.9","48.2"
"2022-01-05 01:58:00",139246,"0.041","0.092","0.268","0.045","12.4","766.9","48.3"
"2022-01-05 01:59:00",139247,"0.041","0.092","0.270","0.045","12.3","766.9","48.5"
"2022-01-05 02:00:00",139248,"0.041","0.092","0.271","0.045","12.3","766.7","48.6"
"2022-01-05 02:01:00",139249,"0.040","0.092","0.271","0.045","12.3","766.9","48.6"
"2022-01-05 02:02:00",139250,"0.040","0.091","0.269","0.045","12.4","766.9","48.5"
"2022-01-05 02:03:00",139251,"0.040","0.091","0.267","0.046","12.4","766.9","48.2"
"2022-01-05 02:04:00",139252,"0.039","0.091","0.264","0.046","12.5","766.9","47.8"
"2022-01-05 02:05:00",139253,"0.039","0.091","0.261","0.046","12.4","766.9","48.1"
"2022-01-05 02:06:00",139254,"0.039","0.091","0.257","0.046","12.3","766.9","48.2"
"2022-01-05 02:07:00",139255,"0.039","0.091","0.253","0.046","12.5","766.9","48.0"
"2022-01-05 02:08:00",139256,"0.038","0.091","0.245","0.047","12.6","766.9","47.4"
"2022-01-05 02:09:00",139257,"0.038","0.091","0.238","0.047","12.6","766.9","47.5"
"2022-01-05 02:10:00",139258,"0.037","0.092","0.232","0.047","12.5","766.7","47.7"
"2022-01-05 02:11:00",139259,"0.037","0.091","0.228","0.048","12.4","766.8","47.9"
"2022-01-05 02:12:00",139260,"0.037","0.091","0.227","0.048","12.4","766.8","47.9"
"2022-01-05 02:13:00",139261,"0.037","0.092","0.227","0.048","12.6","766.8","47.5"
"2022-01-05 02:14:00",139262,"0.037","0.092","0.225","0.048","12.5","766.8","47.4"
"2022-01-05 02:15:00",139263,"0.037","0.092","0.221","0.048","12.6","766.8","47.1"
"2022-01-05 02:16:00",139264,"0.037","0.092","0.218","0.048","12.4","766.8","47.6"
"2022-01-05 02:17:00",139265,"0.037","0.092","0.215","0.048","12.3","766.8","48.0"
"2022-01-05 02:18:00",139266,"0.037","0.092","0.213","0.049","12.4","766.8","47.9"
"2022-01-05 02:19:00",139267,"0.037","0.092","0.209","0.049","12.4","766.8","47.8"
